permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
11285,0.43069913466508736,675.0923946666667,6.2487982051570095,-0.4452631291948127,0.0732899991304122,0.01061123888888889,2,6020,180,US-NC,0.6750923946666667,FIRE,Q3
11292,0.06634861250834748,30.145974043888888,3.1919006942769594,0.5689498465482268,0.0283533579018505,0.014775341611111112,1,2830,180,US-ME,0.030145974043888888,Manufacturing,Q1 micro
11293,0.3953802595213604,1334.901706777778,7.035811748877289,-0.6255154426303808,0.05893502975772084,0.007122705555555556,2,6020,180,US-WV,1.334901706777778,FIRE,Q4
11306,0.2783327682247518,6.468766666666666,1.8634767139923347,1.132016817816729,-0.10702514213338575,-0.047598333333333326,1,3721,3,US-AL,0.006468766666666666,Manufacturing,Q1 micro
11308,0.48601685894171626,122392.61198585352,11.619317401491008,-0.9395909794945326,0.08827535491829439,0.008970322222222223,2,2086,180,US-GA,122.39261198585352,Manufacturing,Q5 mega
11343,0.7320494885589994,2114.663308909321,7.530618742386558,-0.4687303874010164,0.19774003430242829,0.015475663580246912,3,2015,162,US-MS,2.114663308909321,Manufacturing,Q4
11348,0.47893343898366797,181.39747496753247,5.0539498779575025,-0.5710567276947082,0.16155793176765143,0.01672877922077922,2,6020,154,US-MA,0.18139747496753247,FIRE,Q2
11368,0.1481389518683753,42.880177255,3.6551904730953595,0.11023737619172579,0.1770473352412985,0.015995512666666663,1,4510,180,US-NC,0.042880177255,Transp/Util,Q1 micro
11369,0.45474850036341863,2839.715468888889,7.799020655330665,-0.6396569424309777,0.0466348922562031,0.008747877777777777,2,6020,180,US-WV,2.839715468888889,FIRE,Q5 mega
11378,0.6884843231191875,891.807509,6.780394444544016,-0.3967002039116078,-0.1473638171544714,0.008042679999999998,3,2813,110,US-PA,0.8918075089999999,Manufacturing,Q4
11379,0.5054931134453367,187.80944955534594,5.024108305495842,0.41736740385343607,-0.11215085363153716,0.013890489056603762,2,5650,159,US-MA,0.18780944955534593,RetailTrade,Q2
11382,0.5834058483188576,1500.857670862069,7.227748133574732,-0.2481508523222218,0.011549868106019373,0.03856623689655169,2,5699,58,US-NY,1.500857670862069,RetailTrade,Q4
11394,0.052219995422886745,23.750481786433333,2.936353317646103,1.2638309151645937,-0.7840565722787498,-0.03019711327777781,1,3580,180,US-CA,0.023750481786433332,Manufacturing,Q1 micro
11397,0.4187477932274878,630.9233319444445,6.368110956515559,-0.6152159963355633,0.062460379118611686,0.009124061111111111,2,6020,180,US-RI,0.6309233319444445,FIRE,Q3
